Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
APC/C-mediated degradation of cell cycle proteins	R-HSA-174143	-0.32917387615535526	-1.4085726600936812	0.15896156781039905	1.0	0.4367797207267387	9	CDC14A,AURKB,BTRC,UBB,SKP2,CDC20	ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,BTRC,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC14A,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,CDK2,CUL1,FBXO5,FZR1,MAD2L1,NEK2,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTTG1,RB1,RPS27A,SEM1,SKP1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S
Response of endothelial cells to shear stress	R-HSA-9860931	-0.44149864457035637	-1.4054414369060915	0.1598900522595159	1.0	0.43732484613447503	13	CTNNB1,ADCY3,CAPN2,MMP14,PRKAR1A,PTPN1,FYN,AKT1,IKBKG	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADM,AKT1,ANXA2,CALCRL,CALM1,CAPN2,CAPNS1,CAPNS2,CDH5,CHUK,CTNNB1,FLT4,FN1,FYN,GNA11,GNAQ,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,IKBKB,IKBKE,IKBKG,ITGA5,ITGAV,ITGB1,ITGB3,KDR,MAPKAP1,MLST8,MMP14,MTOR,NFKB1,NFKBIA,NLRP3,NOS3,P2RY2,PANX1,PDE4D,PDPK1,PECAM1,PIEZO1,PIK3CA,PIK3CB,PIK3CD,PIK3R2,PKN2,PPP2CA,PPP2R1A,PPP2R1B,PPP2R2A,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRR5,PTK2,PTPN1,RAMP2,RELA,RICTOR,STAT1,TLN1,TRPV4,VCL,YAP1
M Phase	R-HSA-68886	-0.24144896804535942	-1.3981823576339276	0.16205831326730058	1.0	0.4397237709711704	45	PDS5B,CEP290,ADRM1,AURKB,NDC1,CEP63,DYNC1H1,MIS12,UBB,CEP41,YWHAE,CLASP1,CDC20,CDK5RAP2,MCPH1	ACTR1A,ADRM1,AHCTF1,AKAP9,ALMS1,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ANKLE2,APITD1,ARPP19,AURKB,B9D2,BANF1,BIRC5,BLZF1,BUB1,BUB1B,BUB3,CC2D1B,CCNB1,CCNB2,CCP110,CDC16,CDC20,CDC23,CDC26,CDC27,CDCA5,CDCA8,CDK1,CDK5RAP2,CENPA,CENPC,CENPE,CENPF,CENPH,CENPI,CENPJ,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CENPU,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP43,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,CKAP5,CLASP1,CLASP2,CLIP1,CNEP1R1,CNTRL,CSNK1D,CSNK1E,CSNK2A1,CSNK2A2,CSNK2B,CTDNEP1,DCTN1,DCTN2,DCTN3,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,EMD,EML4,ENSA,ERCC6L,ESPL1,FBXO5,FIRRM,GOLGA2,GORASP1,GORASP2,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3-4,H3C15,H4C1,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HDAC8,HIST1H3G,HSP90AA1,INCENP,IST1,ITGB3BP,KIF18A,KIF20A,KIF23,KIF2A,KIF2B,KIF2C,KMT5A,KNL1,KNTC1,KPNB1,LBR,LEMD2,LEMD3,LMNA,LMNB1,LPIN1,LPIN2,LPIN3,MAD1L1,MAD2L1,MAPK1,MAPK3,MAPRE1,MASTL,MAU2,MCPH1,MIS12,MZT1,MZT2A,MZT2B,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,NDC1,NDC80,NDE1,NDEL1,NEDD1,NEK2,NEK6,NEK7,NEK9,NINL,NIPBL,NME7,NSL1,NUDC,NUF2,NUMA1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,ODF2,OFD1,PAFAH1B1,PCM1,PCNT,PDS5A,PDS5B,PHF8,PLK1,PLK4,PMF1,POM121,POM121C,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKACA,PRKAR2B,PRKCA,PRKCB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTTG1,RAB1A,RAB1B,RAB2A,RAD21,RAE1,RAN,RANBP2,RANGAP1,RB1,RCC1,RCC2,RPS27,RPS27A,SDCCAG8,SEC13,SEH1L,SEM1,SET,SFI1,SGO1,SGO2,SIRT2,SKA1,SKA2,SMC1A,SMC2,SMC3,SMC4,SPAST,SPC24,SPC25,SPDL1,SSNA1,STAG1,STAG2,SUMO1,TAOK1,TMPO,TNPO1,TPR,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2I,UBE2S,USO1,VPS4A,VRK1,VRK2,WAPL,XPO1,YWHAE,YWHAG,ZW10,ZWILCH,ZWINT
RET signaling	R-HSA-8853659	0.6337943629517352	1.3958814737273	0.16275019041379624	1.0	0.4397237709711704	5	PTPN11	DOK1,DOK2,DOK4,DOK5,DOK6,FRS2,GAB1,GAB2,GDNF,GFRA1,GFRA2,GFRA3,GFRA4,GRB10,GRB2,GRB7,IRS2,MAPK7,NRTN,PDLIM7,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PLCG1,PRKACA,PRKACB,PRKACG,PRKCA,PSPN,PTPN11,RAP1GAP,RET,SHANK3,SHC1,SHC3,SOS1,SRC
tRNA processing	R-HSA-72306	-0.37600734801905444	-1.3951539807056903	0.1629694109442401	1.0	0.4397237709711704	5	NDC1,NSUN2,PRORP,RANBP2	ADAT1,ADAT2,ADAT3,ALKBH8,C14orf142,C2orf49,CDKAL1,CLP1,CPSF1,CPSF4,CSTF2,CTU1,CTU2,DDX1,DUS2,ELAC2,EPRS1,FAM98B,FTSJ1,GTPBP3,HSD17B10,LAGE3,LCMT2,METTL1,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MT-RNR1,MT-RNR2,MT-TA,MT-TC,MT-TD,MT-TE,MT-TF,MT-TG,MT-TH,MT-TI,MT-TK,MT-TL1,MT-TL2,MT-TM,MT-TN,MT-TP,MT-TQ,MT-TR,MT-TS1,MT-TS2,MT-TT,MT-TV,MT-TW,MT-TY,MTO1,NDC1,NSUN2,NSUN6,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,OSGEP,OSGEPL1,POM121,POM121C,POP1,POP4,POP5,POP7,PRORP,PUS1,PUS3,PUS7,QNG1,QTRT1,QTRT2,RAE1,RAN,RANBP2,RPP14,RPP21,RPP25,RPP30,RPP38,RPP40,RPPH1,RTCB,RTRAF,SEC13,SEH1L,THADA,THG1L,TP53RK,TPR,TPRKB,TRDMT1,TRIT1,TRMT1,TRMT10A,TRMT10C,TRMT11,TRMT112,TRMT12,TRMT13,TRMT44,TRMT5,TRMT6,TRMT61A,TRMT61B,TRMT9B,TRMU,TRNT1,TSEN15,TSEN2,TSEN34,TSEN54,TYW1,TYW3,TYW5,URM1,WDR4,XPOT,YRDC,ZBTB8OS
Signaling by FGFR	R-HSA-190236	0.7096833383269087	1.3900988912452137	0.16449884994536723	1.0	0.44186013953934966	8	KL,KLB,PTPN11,SOS1	BRAF,CBL,ESRP1,ESRP2,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFBP1,FGFBP2,FGFBP3,FGFR1,FGFR2,FGFR2b,FGFR2c,FGFR3,FGFR4,FGFRL1,FLRT1,FLRT2,FLRT3,FRS2,FRS3,GAB1,GALNT3,GIPC1,GRB2,GTF2F1,GTF2F2,HNRNPA1,HNRNPF,HNRNPH1,HNRNPM,HRAS,KL,KLB,KRAS,MAPK1,MAPK3,MKNK1,NCBP1,NCBP2,NRAS,PIK3CA,PIK3R1,PLCG1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,PPP2CA,PPP2CB,PPP2R1A,PTBP1,PTPN11,RBFOX2,RPS27A,SHC1,SOS1,SPRED1,SPRED2,SPRY2,SRC,TGFBR3,TIA1,TIAL1,UBA52,UBB,UBC
Negative regulators of DDX58/IFIH1 signaling	R-HSA-936440	-0.37396229611663173	-1.383252978840909	0.16658731029556217	1.0	0.44547231637072204	5	RIGI,PIN1,UBB	ATG5,CYLD,HERC5,IFIH1,IKBKE,IRF3,ISG15,ITCH,MAVS,NLRC5,NLRX1,OTUD5,PCBP2,PIN1,RIGI,RNF125,RNF135,RNF216,RPS27A,TAX1BP1,TBK1,TNFAIP3,TRAF3,TRIM25,TRIM4,UBA52,UBA7,UBB,UBC,UBE2D1,UBE2D2,UBE2D3,UBE2K,UBE2L6
Regulation of TP53 Expression and Degradation	R-HSA-6806003	-0.3214082907438957	-1.3589719803943012	0.1741554677295407	1.0	0.46158904942475615	9	CCNA1,AKT2,CDKN2A,UBB,ATM,CDK2,USP2,PRDM1,PPP2R1B	AKT2,AKT3,ATM,CCNA1,CCNA2,CCNG1,CDK1,CDK2,CDKN2A,CHEK2,DAXX,MAPKAP1,MDM2,MDM4,MLST8,MTOR,PDPK1,PHF20,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5C,PRDM1,PRR5,RFFL,RICTOR,RNF34,RPS27A,SGK1,TP53,UBA52,UBB,UBC,USP2,USP7
Senescence-Associated Secretory Phenotype (SASP)	R-HSA-2559582	-0.3214082907438957	-1.3589719803943012	0.1741554677295407	1.0	0.46158904942475615	9	CCNA1,H3-3A,RPS6KA3,CDKN2A,UBB,CDK4,CDKN1A,CDK2,CDKN2D	ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CCNA1,CCNA2,CDC16,CDC23,CDC26,CDC27,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CEBPB,CXCL8,EHMT1,EHMT2,FOS,FZR1,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3C15,H4C1,HIST1H3G,IGFBP7,IL1A,IL6,IL8,JUN,MAPK1,MAPK3,MAPK7,NFKB1,RELA,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,STAT3,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,VENTX
Regulation of APC/C activators between G1/S and early anaphase	R-HSA-176408	-0.36660655732648356	-1.3532739435385632	0.17596813020020585	1.0	0.4643388105282965	6	CDC20,UBB,BTRC	ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BTRC,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,CDK2,CUL1,FBXO5,FZR1,MAD2L1,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RPS27A,SEM1,SKP1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S
Ub-specific processing proteases	R-HSA-5689880	-0.31259673704788454	-1.325953232692713	0.18485518879696983	1.0	0.4856502547780041	38	USP17L19,USP17L10,USP17L24,USP17L11,USP17L4,USP17L5,USP17L15,USP17L22,USP17L12,USP17L8,USP17L18,USP17L1,RIGI,USP17L17,USP17L21,USP17L13,USP17L20,USP17L2,USP17L3	ADRM1,AR,ARRB1,ARRB2,ATXN7,AXIN1,AXIN2,BECN1,BIRC2,BIRC3,CCNA1,CCNA2,CCP110,CDC20,CDC25A,CFTR,CLSPN,CYLD,DDB2,FKBP8,FOXO4,GATA3,H2AC1,H2AC11,H2AC12,H2AC14,H2AC18,H2AC20,H2AC21,H2AC25,H2AC4,H2AC6,H2AC7,H2BC1,H2BC11,H2BC12,H2BC13,H2BC14,H2BC15,H2BC17,H2BC18,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,HGS,HIF1A,IDE,IFIH1,IKBKG,IL33,KAT2A,KEAP1,MAP3K7,MAT2B,MDM2,MDM4,MUL1,MYC,NFKBIA,OTUB1,POLB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTEN,PTRH2,RCE1,RHOT1,RIGI,RIPK1,RNF123,RNF128,RNF146,RPS27A,RUVBL1,SEM1,SIAH2,SKP2,SMAD1,SMAD2,SMAD3,SMAD4,SMAD7,SMURF2,SNX3,STAM2,SUDS3,TAB1,TADA2B,TADA3,TAF10,TAF9B,TGFBR1,TNKS,TNKS2,TOMM20,TOMM70,TP53,TRAF2,TRAF6,TRRAP,UBA52,UBB,UBC,UFD1L,USP10,USP11,USP12,USP13,USP14,USP16,USP17L1,USP17L10,USP17L11,USP17L12,USP17L13,USP17L15,USP17L17,USP17L18,USP17L19,USP17L2,USP17L20,USP17L21,USP17L22,USP17L24,USP17L3,USP17L4,USP17L5,USP17L8,USP18,USP19,USP2,USP20,USP21,USP22,USP24,USP25,USP26,USP28,USP3,USP30,USP33,USP34,USP37,USP4,USP42,USP44,USP47,USP48,USP49,USP5,USP7,USP8,USP9X,VDAC1,VDAC2,VDAC3,WDR20,WDR48
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	R-HSA-168643	0.7036494103771032	1.3206014007579996	0.18663430555038607	1.0	0.48732013451531014	7	NOD2	AIM2,APP,BCL2,BCL2L1,BIRC2,BIRC3,CARD9,CASP1,CASP2,CASP4,CASP8,CASP9,CHUK,CYLD,HMOX1,HSP90AB1,IKBKB,IKBKG,IRAK1,IRAK2,ITCH,MAP2K6,MAP3K7,MAPK11,MAPK12,MAPK13,MAPK14,MEFV,N,NFKB1,NFKB2,NLRC4,NLRP1,NLRP3,NOD1,NOD2,P2RX7,PANX1,PSTPIP1,PYCARD,RELA,RIPK2,RPS27A,SUGT1,TAB1,TAB2,TAB3,TNFAIP3,TRAF6,TXN,TXNIP,UBA52,UBB,UBC,UBE2N,UBE2V1,fliC,fljB,hly,prgJ
G alpha (i) signalling events	R-HSA-418594	-0.47719733326834435	-1.3190443288295055	0.18715429311272214	1.0	0.48732013451531014	21	ADCY3,CAMK4,CORT,S1PR3,SST,TAS2R39,CNR1,GAL,ANXA1,CCL25,OPRM1,INSL5	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADORA1,ADORA3,ADRA2A,ADRA2B,ADRA2C,AGT,AGTR2,AHCYL1,ANXA1,APLN,APLNR,APP,BDKRB1,BDKRB2,C3,C3AR1,C5,C5AR1,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASR,CCL1,CCL13,CCL16,CCL19,CCL20,CCL21,CCL23,CCL25,CCL27,CCL28,CCL4,CCL4L1,CCL5,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CDK5,CHRM2,CHRM4,CNR1,CNR2,CORT,CREB1,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL16,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,DRD3,DRD4,FPR1,FPR2,FPR3,GABBR1,GABBR2,GAL,GALR1,GALR2,GALR3,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAQ,GNAS,GNAT1,GNAT2,GNAT3,GNAZ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GPER1,GPR17,GPR18,GPR183,GPR31,GPR37,GPR37L1,GPR55,GPSM1,GPSM2,GPSM3,GRK2,GRM2,GRM3,GRM4,GRM6,GRM7,GRM8,HCAR1,HCAR2,HCAR3,HEBP1,HRH4,HTR1B,HTR1D,HTR1E,HTR1F,HTR5A,INSL5,ITPR1,ITPR2,ITPR3,KNG1,KPNA2,LPAR1,LPAR2,LPAR3,LPAR5,MAPK1,MCHR1,MCHR2,MT-RNR2,MTNR1A,MTNR1B,NBEA,NMS,NMU,NMUR1,NMUR2,NPB,NPBWR1,NPBWR2,NPW,NPY,NPY1R,NPY2R,NPY4R,NPY5R,OPN1LW,OPN1MW,OPN1SW,OPN3,OPN5,OPRD1,OPRK1,OPRL1,OPRM1,OXER1,OXGR1,P2RY12,P2RY13,P2RY14,P2RY4,PCP2,PDE1A,PDE1B,PDE1C,PDE4A,PDE4B,PDE4C,PDE4D,PDYN,PENK,PF4,PLA2G4A,PLCB1,PLCB2,PLCB3,PLCB4,PMCH,PNOC,POMC,PPBP,PPP1CA,PPP1R1B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPY,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX,PSAP,PTGDR2,PTGER3,PYY,RGR,RGS1,RGS10,RGS11,RGS12,RGS13,RGS14,RGS16,RGS17,RGS18,RGS19,RGS20,RGS21,RGS22,RGS3,RGS4,RGS5,RGS6,RGS7,RGS8,RGS9,RGSL1,RHO,RLN3,RRH,RXFP3,RXFP4,S1PR2,S1PR3,S1PR4,S1PR5,SAA1,SRC,SST,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,SUCNR1,TAS1R1,TAS1R2,TAS1R3,TAS2R1,TAS2R10,TAS2R13,TAS2R14,TAS2R16,TAS2R19,TAS2R20,TAS2R3,TAS2R30,TAS2R31,TAS2R38,TAS2R39,TAS2R4,TAS2R40,TAS2R41,TAS2R42,TAS2R43,TAS2R45,TAS2R46,TAS2R5,TAS2R50,TAS2R60,TAS2R7,TAS2R8,TAS2R9
Chromosome Maintenance	R-HSA-73886	-0.27248208403237184	-1.3167230604081537	0.18793147090657203	1.0	0.48732013451531014	11	H3-3A,TERT,MIS18A,POT1,CHTF18,POLD3,PCNA	ANKRD28,APITD1,ATRX,BLM,CCNA1,CCNA2,CDK2,CENPA,CENPC,CENPH,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CENPU,CENPW,CHTF18,CHTF8,CTC1,DAXX,DKC1,DNA2,DSCC1,FEN1,GAR1,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3-4,H4C1,HJURP,ITGB3BP,KNL1,LIG1,MIS18A,MIS18BP1,NHP2,NOP10,NPM1,OIP5,PCNA,PIF1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POT1,PPP6C,PPP6R3,PRIM1,PRIM2,RBBP4,RBBP7,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RSF1,RTEL1,RUVBL1,RUVBL2,SHQ1,SMARCA5,STN1,STRA13,TEN1,TERF1,TERF2,TERF2IP,TERT,TINF2,WRAP53,WRN
Transcriptional and post-translational regulation of MITF-M expression and activity	R-HSA-9856649	-0.31339189099259435	-1.3085084049406608	0.19070092565865182	1.0	0.49167747044350635	9	CTNNB1,MITF,SOX2,SIRT1,YWHAE,KITLG	AIMP2,AKT3,ALX3,CDH1,CREB1,CREBBP,CSF1,CTNNB1,DARS1,EDN1,EDN3,EDNRB,EEF1E1,EP300,EPRS1,FOXD3,GSK3B,HDAC1,HINT1,IARS1,ID1,KARS1,KIT,KITLG,LARS1,LEF1,MAPK1,MAPK3,MARK3,MARS1,MC1R,MC3R,MC4R,MC5R,MITF,PAX3,POMC,POU3F2,QARS1,RARS1,RPS6KA1,SIRT1,SNAI2,SOX10,SOX2,SOX9,SUMO1,TBX3,TFE3,TFEB,TFEC,TNFSF11,UBE2I,WNT3A,XPO1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAZ,ZIC1
Metabolism of steroids	R-HSA-8957322	-0.437299303596513	-1.3029010681579154	0.19260853922909593	1.0	0.49167747044350635	15	CGA,PLPP6,HSD17B1,LRP2,MVK,CH25H,STAR,CYP19A1,HSD17B3,CYP11A1	ABCC3,ACACA,ACACB,ACAT2,ACOT8,ACOX2,AKR1B1,AKR1B15,AKR1C1,AKR1C2,AKR1C3,AKR1C4,AKR1D1,ALB,AMACR,ARV1,BAAT,CARM1,CGA,CH25H,CHD9,CREBBP,CUBN,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP19A1,CYP21A2,CYP24A1,CYP27A1,CYP27B1,CYP2R1,CYP39A1,CYP46A1,CYP51A1,CYP7A1,CYP7B1,CYP8B1,DHCR24,DHCR7,EBP,ELOVL6,FABP6,FASN,FDFT1,FDPS,FDX1,FDX2,FDXR,GC,GGPS1,GPAM,HELZ2,HMGCR,HMGCS1,HSD11B1,HSD11B2,HSD17B1,HSD17B11,HSD17B12,HSD17B14,HSD17B2,HSD17B3,HSD17B4,HSD17B7,HSD3B1,HSD3B2,HSD3B7,IDI1,IDI2,INSIG1,INSIG2,KPNB1,LBR,LDLRAP1,LGMN,LHB,LRP2,LSS,MBTPS1,MBTPS2,MED1,MSMO1,MTF1,MVD,MVK,NCOA1,NCOA2,NCOA6,NFYA,NFYB,NFYC,NR1H4,NSDHL,OSBP,OSBPL1A,OSBPL2,OSBPL3,OSBPL6,OSBPL7,OSBPL9,PIAS4,PLPP6,PMVK,POMC,PPARA,RAN,RXRA,SAR1B,SC5D,SC5DL,SCAP,SCD,SCP2,SEC23A,SEC24A,SEC24B,SEC24C,SEC24D,SERPINA6,SLC10A1,SLC10A2,SLC27A2,SLC27A5,SLC51A,SLC51B,SLCO1A2,SLCO1B1,SLCO1B3,SMARCD3,SP1,SQLE,SRD5A1,SRD5A2,SRD5A3,SREBF1,SREBF2,STAR,STARD3,STARD3NL,STARD4,STARD5,STARD6,STS,SUMO2,TBL1X,TBL1XR1,TGS1,TM7SF2,TSPO,TSPOAP1,UBE2I,VDR
MyD88-independent TLR4 cascade	R-HSA-166166	0.6689763583068058	1.3017964221326204	0.1929859872171813	1.0	0.49167747044350635	10	RIPK2,NOD2	ALPK1,APP,ATF1,ATF2,BIRC2,BIRC3,BTRC,CASP8,CD14,CHUK,CREB1,CUL1,DUSP3,DUSP4,DUSP6,DUSP7,ELK1,FADD,FBXW11,FOS,HMGB1,IKBIP,IKBKB,IKBKE,IKBKG,IRAK1,IRAK2,IRF3,IRF7,JUN,LRRC14,LY96,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP2K7,MAP3K7,MAP3K8,MAPK1,MAPK10,MAPK11,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAPK2,MAPKAPK3,MEF2A,MEF2C,N,N4BP1,NFKB1,NFKB2,NFKBIA,NFKBIB,NKIRAS1,NKIRAS2,NLRC5,NLRX1,NOD1,NOD2,OPTN,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PTPN11,RELA,RIPK1,RIPK2,RIPK3,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,S100A12,S100B,SAA1,SARM1,SKP1,TAB1,TAB2,TAB3,TANK,TBK1,TICAM1,TICAM2,TIFA,TLR4,TNIP2,TP53,TRAF2,TRAF3,TRAF6,UBA52,UBB,UBC,UBE2D1,UBE2D2,UBE2D3,UBE2N,UBE2V1,USP14,USP18,VRK3
